"AssetName","SmallestDate","BiggestDate","RecordCount","FileName"
"10Y1","2021-09-22","2025-09-30","526","10Y1_-60-20210922-1200-20250930-1000.json"
"6A1","2019-01-15","2025-10-01","868","6A1_-60-20190115-0700-20251001-1200.json"
"6B1","2019-01-16","2025-09-30","858","6B1_-60-20190116-0500-20250930-2200.json"
"6C1","2019-01-14","2024-12-30","754","6C1_-60-20190114-0800-20241230-0100.json"
"6E1","2019-01-14","2025-09-30","864","6E1_-60-20190114-0900-20250930-2000.json"
"6S1","2020-04-21","2025-09-30","483","6S1_-60-20200421-1600-20250930-0700.json"
"AAVEUSDT.P","2020-10-25","2025-09-30","1006","AAVEUSDT.P-60-20201025-2200-20250930-1900.json"
"ADAUSDT.P","2020-02-08","2025-09-29","540","ADAUSDT.P-60-20200208-0900-20250929-0400.json"
"ALTUSDT.P","2024-02-10","2025-09-28","307","ALTUSDT.P-60-20240210-1700-20250928-1900.json"
"APEUSDT.P","2022-03-25","2025-09-30","739","APEUSDT.P-60-20220325-2000-20250930-2300.json"
"ARBUSDT.P","2023-03-31","2025-09-30","495","ARBUSDT.P-60-20230331-1900-20250930-2100.json"
"AUDUSD","2019-01-14","2025-10-01","924","AUDUSD-60-20190114-0400-20251001-1200.json"
"AVAXUSDT.P","2020-10-02","2025-09-30","1028","AVAXUSDT.P-60-20201002-2000-20250930-2100.json"
"AXSUSDT.P","2020-11-30","2025-09-30","957","AXSUSDT.P-60-20201130-0900-20250930-2100.json"
"BCHUSDT.P","2021-01-11","2025-09-29","1001","BCHUSDT.P-60-20210111-1600-20250929-0600.json"
"BNBUSDT.P","2021-01-12","2025-09-28","990","BNBUSDT.P-60-20210112-0300-20250928-0600.json"
"BTCUSDT.P","2020-01-11","2025-09-30","1198","BTCUSDT.P-60-20200111-0200-20250930-0800.json"
"CELRUSDT.P","2021-04-09","2025-09-30","850","CELRUSDT.P-60-20210409-1200-20250930-1900.json"
"CL1","2020-01-14","2025-09-28","572","CL1_-60-20200114-0700-20250928-2000.json"
"DOGEUSDT.P","2020-07-18","2024-01-04","654","DOGEUSDT.P-60-20200718-1900-20240104-1800.json"
"DOTUSDT.P","2021-05-08","2025-09-30","516","DOTUSDT.P-60-20210508-1700-20250930-1600.json"
"ES1","2019-01-23","2025-10-01","805","ES1_-60-20190123-1300-20251001-0500.json"
"ETCUSDT.P","2021-05-02","2025-09-30","776","ETCUSDT.P-60-20210502-1700-20250930-1900.json"
"ETHUSDT.P","2020-01-11","2025-09-30","1147","ETHUSDT.P-60-20200111-1900-20250930-1900.json"
"FILUSDT.P","2020-10-28","2023-12-29","682","FILUSDT.P-60-20201028-1900-20231229-0200.json"
"GC1","2019-01-14","2025-10-01","869","GC1_-60-20190114-0700-20251001-1000.json"
"HG1","2019-01-14","2025-10-01","844","HG1_-60-20190114-1000-20251001-0100.json"
"ICPUSDT.P","2021-05-20","2024-12-30","713","ICPUSDT.P-60-20210520-1700-20241230-1400.json"
"KSMUSDT.P","2020-10-22","2025-09-29","1006","KSMUSDT.P-60-20201022-2100-20250929-0800.json"
"LTCUSDT.P","2021-01-12","2025-09-29","577","LTCUSDT.P-60-20210112-0300-20250929-1100.json"
"MANAUSDT.P","2021-03-25","2025-09-30","556","MANAUSDT.P-60-20210325-2000-20250930-2100.json"
"NAS100","2019-01-15","2025-10-01","788","NAS100-60-20190115-0300-20251001-0500.json"
"NEARUSDT.P","2021-03-16","2025-10-01","563","NEARUSDT.P-60-20210316-1700-20251001-0000.json"
"NQ1","2019-01-14","2025-10-01","783","NQ1_-60-20190114-0800-20251001-0500.json"
"OPUSDT.P","2022-06-10","2023-12-30","307","OPUSDT.P-60-20220610-0300-20231230-0800.json"
"PENDLEUSDT.P","2023-08-08","2025-09-29","454","PENDLEUSDT.P-60-20230808-0600-20250929-1000.json"
"RTY1","2019-01-14","2025-09-26","815","RTY1_-60-20190114-0800-20250926-0800.json"
"SI1","2019-01-14","2025-09-30","859","SI1_-60-20190114-0800-20250930-0800.json"
"SOLUSDT.P","2020-09-26","2025-09-30","972","SOLUSDT.P-60-20200926-0300-20250930-2100.json"
"SPOTBRENT","2020-10-01","2025-09-28","425","SPOTBRENT-60-20201001-0200-20250928-2000.json"
"SPOTBRENT","2021-01-18","2025-09-28","526","SPOTBRENT-60-20210118-0700-20250928-2000.json"
"STXUSDT.P","2023-03-02","2025-09-30","487","STXUSDT.P-60-20230302-1200-20250930-1600.json"
"SUIUSDT.P","2023-05-13","2025-09-30","506","SUIUSDT.P-60-20230513-0900-20250930-2300.json"
"TONUSDT.P","2024-03-10","2025-09-30","328","TONUSDT.P-60-20240310-1500-20250930-2100.json"
"TSLA","2011-03-04","2025-09-24","489","TSLA-60-20110304-0830-20250924-0730.json"
"UNIUSDT.P","2020-09-26","2025-09-30","745","UNIUSDT.P-60-20200926-1200-20250930-1800.json"
"US500","2019-01-23","2025-10-01","462","US500-60-20190123-1500-20251001-0500.json"
"USDJPY","2020-04-27","2025-09-26","616","USDJPY-60-20200427-1100-20250926-0700.json"
"V","2011-02-24","2025-09-09","539","V-60-20110224-1230-20250909-0930.json"
"XAGUSD","2019-01-16","2025-09-30","499","XAGUSD-60-20190116-1000-20250930-0800.json"
"XAUUSD","2020-06-14","2024-12-30","534","XAUUSD-60-20200614-1700-20241230-0600.json"
"XRPUSDT.P","2020-01-14","2025-09-29","1195","XRPUSDT.P-60-20200114-2300-20250929-1900.json"
"YM1","2019-01-15","2025-09-29","832","YM1_-60-20190115-0300-20250929-2000.json"
